# Program:featureCounts v1.4.6; Command:"featureCounts" "-a" "Probes.FC.annotation.HG19.txt" "-o" "RNA-seq_pluri.txt" "-F" "SAF" "-O" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam
ILMN_1719792	chr3	111694243	111694293	-	51	0	4	21	16	7	16	18	23	20	10	4	6	29	20
ILMN_1805730	chr4	100463149	100463199	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1710410	chr1	240072453	240072503	-	51	0	0	0	8	6	10	10	9	7	5	10	1	3	6
ILMN_2051519	chr2	217363991	217364041	-	51	26167	2313	6186	4102	4509	4273	3956	8113	4788	2973	2595	2495	4935	6999
ILMN_1803219	chr19	54663987	54664037	+	51	2	2	1	5	12	9	4	10	1	5	4	3	8	15
ILMN_1795754	chrX	154505784	154505834	+	51	33	1	15	2	0	0	0	0	0	1	0	0	1	0
ILMN_3308240	chrX	113873950	113874000	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1878273	chr2	220356540	220356590	-	51	0	5	11	2	5	7	6	3	5	3	0	3	2	5
ILMN_1782693	chr4	110237063	110237113	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1658327	chr14	35255335	35255385	+	51	108	3	20	10	17	9	20	20	20	7	1	3	23	12
ILMN_3256445	chr1	205320489	205320539	-	51	0	0	0	235	233	241	233	355	266	125	105	143	253	360
ILMN_1794442	chr16	88506839	88506889	-	51	2	0	3	0	0	0	1	2	0	1	0	0	1	0
ILMN_1789773	chr16	88495494	88495544	-	51	1	0	3	0	0	0	0	0	0	0	0	0	1	0
ILMN_1682181	chr7	56148384	56148434	+	51	2	0	11	0	0	0	0	0	0	1	0	0	0	0
ILMN_2224955	chr1	168550924	168550974	-	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3225577	chr4	111718404	111718454	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2069615	chr11	868713	868763	+	51	7	0	3	7	3	1	7	4	3	4	0	5	3	8
ILMN_1693961	chr5	134347267	134347317	-	51	1	0	0	2	1	0	0	1	1	0	0	0	0	0
ILMN_1686313	chrX	153044454	153044504	-	51	1	0	7	2	4	29	0	1	1	2	0	0	0	2
ILMN_1689736	chr8	80200742	80200792	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2065022	chr17	12894770	12894820	-	51	3	6	7	16	23	9	17	25	9	16	4	11	11	15
ILMN_1718770	chr19	49216319	49216369	+	51	5	0	2	2	8	2	1	3	2	0	1	1	3	4
ILMN_1702657	chr1	157062005	157062055	+	51	5	0	0	0	0	0	0	2	0	0	1	0	0	2
ILMN_1759260	chr16	67337048	67337098	+	51	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ILMN_3236120	chr1	120838231	120838281	+	51	1	0	1	2	1	1	1	1	2	9	0	3	2	1
ILMN_1699724	chr2	75889635	75889685	+	51	1	0	3	6	2	1	1	1	2	1	1	1	1	0
ILMN_1687291	chr10	14861983	14862033	+	51	5	0	2	3	1	0	1	3	3	0	0	0	1	2
ILMN_1811258	chr19	45541111	45541161	-	51	186	4	10	7	9	10	12	9	5	4	4	4	10	11
ILMN_1813955	chr19	40950124	40950174	+	51	86	1	20	6	6	13	11	17	15	5	2	1	17	10
ILMN_1813197	chr13	86367075	86367125	+	51	0	1	0	0	0	0	0	0	0	0	0	1	2	1
ILMN_1906438	chr16	86602607	86602657	+	51	0	0	0	0	0	0	1	1	0	0	0	0	2	0
ILMN_1745132	chr12	56143636	56143686	-	51	21	3	10	7	21	23	10	29	20	2	14	5	20	27
ILMN_1762670	chr20	31769026	31769076	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1693683	chr7	98992655	98992705	+	51	23	4	7	2	9	3	4	3	5	5	4	4	8	10
ILMN_1765014	chr9	79635586	79635636	-	51	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ILMN_1792748	chr2	211543548	211543598	-	51	1	37	5	29	35	13	13	16	4	4	7	14	15	31
ILMN_1812856	chr20	44513829	44513879	-	51	10	3	0	6	6	4	5	7	7	1	1	1	9	4
ILMN_1855996	chrX	148445900	148445950	-	51	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ILMN_3200565	chrX	149284846	149284896	-	51	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1742753	chr11	124179995	124180045	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1710684	chr14	38019972	38020022	-	51	0	0	3	9	4	2	6	1	4	0	8	6	2	0
ILMN_1774594	chr19	12541393	12541443	+	51	14	3	1	6	9	6	8	12	6	10	3	7	4	9
ILMN_1754956	chr14	39735589	39735639	-	51	0	2	2	0	0	0	0	0	0	1	0	0	0	0
ILMN_1694476	chr11	118958728	118958778	-	51	4	0	0	3	0	1	4	1	5	0	1	1	1	3
ILMN_1657529	chr19	41523797	41523847	-	51	0	0	0	7	0	15	1	10	5	3	1	0	1	7
ILMN_1717737	chr2	179330198	179330248	+	51	4	0	10	0	0	0	2	4	2	1	1	0	1	1
ILMN_1687558	chr6	152500479	152500529	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1810376	chr11	109296221	109296271	-	51	0	0	17	0	0	0	0	0	1	0	0	0	0	1
ILMN_1753976	chr17	48450240	48450290	+	51	7	0	0	2	1	3	2	4	1	1	0	0	1	6
ILMN_2323338	chr3	119537010	119537060	-	51	7	0	0	0	4	3	3	4	2	0	2	0	9	6
ILMN_3241870	chr11	65180770	65180820	-	51	132	24	29	12	27	24	18	19	10	12	10	12	24	29
ILMN_3239490	chr10	135478767	135478817	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1891042	chr9	137413139	137413189	+	51	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ILMN_1665832	chr20	30193802	30193852	-	51	0	5	71	3	14	16	6	11	8	6	20	3	5	30
ILMN_1664861	chr20	30193991	30194041	-	51	0	149	165	65	316	200	115	117	154	152	208	48	148	628
ILMN_1658802	chr1	155141925	155141975	+	51	364	156	317	224	476	207	227	328	218	184	173	177	281	345
ILMN_2160124	chr4	2230694	2230744	+	51	5	1	0	4	1	2	4	3	1	1	2	1	4	5
ILMN_2171396	chr1	237167432	237167482	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1761280	chr2	11798496	11798546	+	51	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ILMN_1716724	chr2	11806018	11806068	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1889508	chr4	41545707	41545757	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3178043	chr10	13523007	13523057	+	51	0	1	13	8	14	10	8	10	7	2	4	2	10	4
ILMN_3230853	chr10	13480757	13480807	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1735489	chr1	197024844	197024894	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1896071	chr16	85341305	85341355	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1661230	chr14	62581121	62581171	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3239435	chr4	3245332	3245382	-	51	32	10	13	24	44	7	16	15	9	9	9	11	10	26
ILMN_3182301	chr20	31787141	31787191	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1859036	chr13	95285192	95285242	-	51	9	2	1	1	1	1	3	7	5	2	2	2	5	4
ILMN_2216265	chr16	48387294	48387344	-	51	53	2	11	4	7	5	7	8	11	4	4	3	9	8
ILMN_1691480	chr16	48386829	48386879	-	51	92	6	38	14	14	19	17	27	22	15	11	13	31	26
ILMN_1656134	chr8	17089960	17090010	+	51	460	11	115	210	115	199	229	346	283	236	143	146	366	340
ILMN_1789879	chr2	20110870	20110920	+	51	15	1	16	19	19	10	37	24	11	10	7	15	21	39
ILMN_1675325	chr4	111482756	111482806	-	51	0	0	1	1	1	0	0	0	1	2	1	1	0	2
ILMN_1849842	chr14	80409564	80409614	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1796244	chr16	30364244	30364294	+	51	161	28	75	44	41	44	44	97	53	36	20	29	58	117
ILMN_1710873	chr4	142155117	142155167	-	51	454	54	90	170	198	173	138	197	182	113	58	134	215	144
ILMN_1660097	chrX	113818593	113818643	-	51	0	0	0	0	2	3	2	1	1	1	0	1	1	4
ILMN_1674785	chr12	48367039	48367089	+	51	0	401	0	27	22	20	39	33	20	21	6	28	77	8
ILMN_1766320	chr5	131398465	131398515	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3193623	chr3	197577712	197577762	+	51	0	0	0	1589	869	1574	1357	2983	2399	1069	1212	1019	1980	2499
ILMN_1724040	chr2	110376438	110376488	-	51	7	4	10	17	10	2	13	10	12	7	7	11	13	12
ILMN_1711089	chr5	34958357	34958407	-	51	12	6	15	9	17	3	10	11	11	1	6	7	6	24
ILMN_1714563	chr5	34949674	34949724	-	51	47	0	14	15	29	24	26	43	23	18	6	29	25	26
ILMN_1873838	chr2	89197188	89197238	-	51	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1668778	chr1	57173938	57173988	-	51	0	1	4	7	5	2	6	7	4	3	5	3	9	8
ILMN_1720365	chr19	10196771	10196821	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1716080	chr11	119178244	119178294	-	51	109	6	9	55	108	23	45	36	15	52	18	30	40	69
ILMN_2117323	chr1	204392031	204392081	+	51	73	6	0	20	16	7	15	13	17	9	12	15	22	16
ILMN_1721478	chr12	9553339	9553389	+	51	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ILMN_1810488	chr1	41236913	41236963	-	51	164	54	31	41	78	37	57	60	49	46	20	34	50	102
ILMN_3235584	chr11	8633671	8633721	+	51	11	5	3	3	7	0	2	2	0	0	0	1	2	3
ILMN_1790713	chr1	154172979	154173029	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ILMN_1759369	chr2	198593182	198593232	+	51	0	0	0	0	0	1	0	1	0	1	0	0	0	0
ILMN_1781833	chr2	198649851	198649901	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1752867	chr7	141490868	141490918	-	51	3	0	0	3	7	3	9	4	5	2	5	0	3	3
ILMN_1771957	chr9	140003482	140003532	-	51	61	34	47	17	26	32	14	30	10	15	5	9	20	37
ILMN_1715175	chr7	116438138	116438188	-	51	0	9	25	12	11	23	22	15	16	8	5	8	17	24
ILMN_3287309	chr15	40604821	40604871	+	51	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ILMN_1806502	chr6	28057152	28057202	-	51	7	4	0	19	52	30	15	17	21	25	11	15	11	12
ILMN_2371825	chr1	100389496	100389546	-	51	36	17	5	16	18	6	12	12	9	5	3	3	6	10
ILMN_2274377	chr1	100326804	100326854	-	51	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ILMN_1716546	chr17	80070207	80070257	+	51	0	0	1	1	1	0	0	0	0	0	2	0	0	0
ILMN_2059423	chrX	102192985	102193035	-	51	0	0	0	2	1	1	0	0	0	0	0	0	0	2
ILMN_1768227	chr12	91573195	91573245	+	51	0	0	3618	0	0	0	0	0	0	0	0	0	0	0
ILMN_1736760	chr17	39767166	39767216	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ILMN_2228162	chr17	39766620	39766670	+	51	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ILMN_1795563	chr10	97453237	97453287	+	51	0	0	1	0	0	0	0	0	0	1	1	1	1	2
ILMN_1774110	chr7	29552844	29552894	-	51	0	0	0	2	1	2	6	2	0	0	0	0	8	0
ILMN_2292187	chr7	29438027	29438077	-	51	0	0	0	1	1	2	1	3	2	2	1	1	2	1
ILMN_2403237	chr7	29553735	29553785	-	51	0	11	0	4	6	2	3	4	2	0	0	0	5	0
ILMN_1687384	chr1	27992615	27992665	+	51	557	11	36	1	9	5	1	7	10	4	2	4	6	11
ILMN_1801886	chr15	45567633	45567683	-	51	0	0	0	0	0	0	2	0	0	0	0	1	0	0
ILMN_1711958	chr2	85283302	85283352	-	51	0	0	2	0	0	2	0	2	0	1	0	0	0	0
ILMN_1839052	chr2	85286181	85286231	+	51	2	1	0	3	1	0	2	0	0	2	1	0	0	0
ILMN_1841970	chr10	7455314	7455364	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1696701	chr3	106967623	106967673	-	51	0	2	2	2	1	0	3	1	0	1	0	2	1	2
ILMN_1812946	chr1	101007342	101007392	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1822775	chr11	118565399	118565449	+	51	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ILMN_1743592	chr3	164840832	164840882	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3273198	chr4	76871446	76871496	-	51	85	5	39	41	69	38	60	41	33	41	19	42	51	118
ILMN_1887170	chr3	165069122	165069172	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3245919	chr11	1012818	1012868	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2386818	chr7	43915644	43915694	+	51	24	17	17	10	19	15	11	13	17	4	6	8	13	21
ILMN_1722209	chr16	27438589	27438639	-	51	21	0	0	0	0	0	1	0	0	0	0	0	0	0
ILMN_1703036	chr6	2770361	2770411	-	51	139	2	89	30	14	45	44	84	60	31	22	18	87	55
ILMN_1653618	chr1	78030673	78030723	+	51	60	6	39	22	26	21	21	27	23	23	10	27	25	43
ILMN_3262011	chr1	207992424	207992474	+	51	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3229067	chr2	189092977	189093027	-	51	0	0	0	0	0	50	1	0	0	0	0	9	35	0
ILMN_1736460	chr12	68708880	68708930	+	51	32	0	8	7	13	8	12	16	18	6	7	10	17	17
ILMN_1801939	chr15	59417006	59417056	-	51	292	25	16	135	212	210	160	225	169	121	86	84	160	243
ILMN_1661458	chr1	228270488	228270538	-	51	16	0	7	6	1	6	8	18	3	6	1	2	5	14
ILMN_3239031	chr1	33160473	33160523	+	51	0	0	181	0	0	0	0	0	0	0	0	0	0	0
ILMN_1794677	chr17	76109115	76109165	+	51	574	42	0	43	81	84	40	71	31	46	15	29	49	94
ILMN_1662168	chr2	174829233	174829283	+	51	48	0	16	6	2	20	12	24	32	5	8	6	24	14
ILMN_2231021	chr2	120979434	120979484	+	51	88	3	62	19	13	27	28	36	27	20	13	7	27	67
ILMN_2231020	chr2	120979262	120979312	+	51	84	3	66	10	19	15	30	37	23	19	10	12	25	60
ILMN_1682330	chr9	107267103	107267153	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1821769	chr10	26173013	26173063	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1717468	chr1	100316175	100316225	-	51	0	0	0	1	0	0	0	0	0	0	0	0	1	1
ILMN_1728199	chr12	133200609	133200659	+	51	79	22	9	87	133	27	90	57	59	43	47	59	72	132
ILMN_2133638	chr17	7147309	7147359	+	51	647	50	248	90	169	107	144	144	138	84	48	72	135	164
ILMN_3242330	chr20	49203017	49203067	+	51	1	3	6	5	10	7	3	10	5	5	0	2	4	1
ILMN_1721008	chr15	48623710	48623760	-	51	158	3	92	17	22	30	32	87	51	24	16	16	40	51
ILMN_1732688	chr15	48635468	48635518	-	51	4	3	4	13	19	7	14	15	12	9	7	9	13	9
ILMN_1795464	chr6	31542039	31542089	-	51	254	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1724009	chr16	58553349	58553399	-	51	14	2	8	16	11	12	17	14	15	10	3	13	18	43
ILMN_1768556	chr17	73496462	73496512	+	51	6	16	4	4	14	5	13	9	10	3	4	6	4	15
ILMN_3246484	chr3	116435623	116435673	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1799289	chr1	228295733	228295783	+	51	29	3	6	4	13	21	12	22	8	6	8	5	14	5
ILMN_1718070	chr1	15819062	15819112	+	51	68	18	16	25	39	32	32	40	27	29	22	17	26	42
ILMN_1788268	chr18	10550071	10550121	-	51	163	2	39	40	25	31	39	52	44	38	16	18	40	49
ILMN_3308743	chr21	17962593	17962643	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3273493	chr8	136637126	136637176	+	51	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ILMN_1677697	chr8	119774201	119774251	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2410965	chr19	13884779	13884829	-	51	76	9	28	16	22	27	22	26	22	15	14	18	11	23
ILMN_2296284	chr19	13879183	13879233	-	51	82	0	12	12	5	8	14	12	5	2	4	0	11	5
ILMN_2112988	chr7	74573712	74573762	+	51	865	0	0	0	1	1	0	2	1	3	0	0	1	2
ILMN_1714696	chr1	229825541	229825591	+	51	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ILMN_3287809	chr9	121526415	121526465	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1813766	chr9	4860647	4860697	-	51	59	2	3	25	42	22	33	28	19	26	16	21	39	70
ILMN_3200203	chr9	32955508	32955558	+	51	0	1	2	0	0	0	0	1	0	0	1	0	1	0
ILMN_1729596	chr14	105170707	105170757	-	51	14	3	14	17	13	19	8	11	9	10	4	11	32	7
ILMN_1792242	chr8	67592894	67592944	-	51	2	0	0	1	0	0	0	1	0	0	0	0	0	0
ILMN_1695016	chr17	74271899	74271949	+	51	1	5	3	0	2	1	2	0	2	0	3	0	2	8
ILMN_3237385	chr10	64914367	64914417	-	51	126	5	55	38	39	36	37	47	46	40	31	17	28	53
ILMN_1783471	chr17	18490863	18490913	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1768007	chr2	232458918	232458968	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1716342	chr7	92988076	92988126	-	51	36	7	18	9	9	8	9	8	14	7	10	5	9	12
ILMN_1655702	chr3	43760008	43760058	-	51	53	0	48	19	16	11	22	24	19	15	10	15	33	38
ILMN_1793616	chr9	36336677	36336727	+	51	146	31	18	42	80	33	55	31	36	46	25	35	33	48
ILMN_1725529	chr16	1359219	1359269	-	51	9	0	4	7	6	11	15	17	13	8	9	9	13	33
ILMN_1708025	chr8	30419487	30419537	-	51	2	0	0	5	1	4	10	2	5	9	2	2	4	4
ILMN_3192591	chr17	41286944	41286994	-	51	1	0	0	2	3	1	2	0	2	0	3	1	0	3
ILMN_1679177	chr2	198572388	198572438	-	51	97	1	4	32	31	25	31	60	41	31	20	23	46	69
ILMN_1735156	chr20	3208309	3208359	+	51	0	0	1	21	25	17	30	44	12	12	8	18	14	44
ILMN_2151114	chr2	17837583	17837633	-	51	0	6	0	24	27	9	27	42	40	22	8	36	59	9
ILMN_1783231	chr11	73373601	73373651	-	51	5	2	1	1	12	7	7	7	10	4	21	4	5	13
ILMN_1801913	chr1	43133053	43133103	-	51	402	40	39	157	204	168	128	188	127	116	59	95	163	231
ILMN_1899435	chr19	562578	562628	-	51	5	0	1	4	1	0	5	7	0	0	2	1	0	0
ILMN_1744968	chr3	156256282	156256332	-	51	3	0	1	4	0	2	3	4	7	0	2	0	0	9
ILMN_1811072	chr3	155861091	155861141	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3269021	chr6	29031870	29031920	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1692779	chr14	45584403	45584453	-	51	195	23	40	39	78	28	41	61	54	52	38	36	60	103
ILMN_2227266	chrX	100350795	100350845	-	51	0	2	8	6	9	20	8	15	12	8	10	6	11	4
ILMN_1772934	chr15	100357298	100357348	+	51	1	0	0	0	1	0	1	0	0	0	0	0	0	0
ILMN_1819494	chr5	118734941	118734991	-	51	11	1	0	2	5	3	3	1	1	0	0	3	6	0
ILMN_1806319	chr9	95946243	95946293	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1916256	chr14	23016446	23016496	-	51	850	0	0	0	0	1	0	3	0	0	0	0	0	0
ILMN_1768681	chr8	38785310	38785360	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1763884	chr16	4390374	4390424	+	51	69	22	29	37	61	31	38	46	36	23	20	15	34	56
ILMN_1730811	chr6	118881171	118881221	-	51	0	293	0	0	0	0	1	0	0	0	0	0	0	0
ILMN_2192245	chr6	118881336	118881386	-	51	0	509	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1698191	chrX	18258259	18258309	+	51	0	0	5	23	13	17	25	15	20	18	20	10	30	19
ILMN_3289171	chr1	38021874	38021924	-	51	0	0	0	1	2	3	1	6	6	1	5	0	1	3
ILMN_1671374	chr19	13889183	13889233	-	51	369	78	110	131	238	213	118	162	120	77	52	88	151	192
ILMN_2304289	chr12	66747279	66747329	+	51	0	0	0	8	4	3	7	13	5	9	1	4	9	2
ILMN_1912354	chr4	64009064	64009114	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3243296	chr7	51460285	51460335	+	51	0	0	0	0	1	1	0	0	0	1	0	0	1	1
ILMN_1743394	chr8	76478287	76478337	-	51	8	0	0	0	2	0	1	0	0	1	1	1	2	3
ILMN_1675445	chr3	113372498	113372548	+	51	11	0	6	0	0	3	5	1	4	6	1	1	3	0
ILMN_1762189	chr10	71767550	71767600	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2371685	chr3	23848860	23848910	-	51	770	1	178	97	47	130	142	263	181	64	64	53	198	154
ILMN_1704166	chr3	100174828	100174878	-	51	3	13	0	20	14	14	15	17	16	10	6	5	18	6
ILMN_1652693	chr7	155595876	155595926	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2198413	chr11	69064402	69064452	-	51	5	0	1	2	1	1	2	1	1	0	1	0	1	0
ILMN_1679641	chr6	170714014	170714064	-	51	65	14	34	10	9	12	14	7	12	13	4	14	14	16
ILMN_3309499	chr3	71591123	71591173	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1696837	chr22	16988883	16988933	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1661363	chr9	99252601	99252651	+	51	69	44	62	23	25	29	25	27	24	16	10	17	25	20
ILMN_1784753	chr5	138704974	138705024	-	51	506	55	132	274	259	179	245	411	264	219	214	222	346	385
ILMN_2267104	chr5	138678238	138678288	-	51	2	0	0	0	0	2	1	0	0	2	0	1	0	2
ILMN_1739573	chr16	24788497	24788547	-	51	21	0	15	17	8	27	31	38	41	24	14	12	71	37
ILMN_1714622	chr16	24835505	24835555	-	51	67	0	25	39	34	29	47	46	44	35	28	24	84	76
ILMN_1752409	chr16	24834916	24834966	-	51	61	0	38	52	38	40	64	51	47	33	29	46	97	87
ILMN_2124433	chrX	134993943	134993993	-	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ILMN_1815093	chr11	123676416	123676466	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1689037	chr18	47118441	47118491	-	51	10	0	0	14	3	17	12	7	13	8	5	5	13	8
ILMN_2189027	chr18	47118989	47119039	-	51	15	0	0	8	9	12	5	5	11	2	2	2	8	5
ILMN_1678745	chr8	110253317	110253367	+	51	12	3	3	12	13	10	8	20	14	8	2	9	20	16
ILMN_1724207	chr15	40710726	40710776	-	51	103	11	33	38	30	48	59	67	48	22	22	24	46	94
ILMN_3237868	chr12	3865776	3865826	-	51	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3279996	chr7	63894865	63894915	-	51	1	0	0	17	12	23	22	28	33	13	15	12	20	28
ILMN_1681310	chr4	676089	676139	+	51	6	1	7	3	1	1	5	2	0	2	1	0	2	7
ILMN_1693513	chr12	9800762	9800812	+	51	15	0	6	0	0	5	0	3	0	0	0	1	0	1
ILMN_1779584	chr18	43609373	43609423	-	51	0	0	0	13	14	24	25	32	30	18	9	17	35	24
ILMN_1799389	chr8	145579127	145579177	+	51	28	7	11	21	38	15	10	22	16	13	13	6	16	23
ILMN_1741692	chr16	86613096	86613146	-	51	0	0	3	0	0	2	0	0	0	0	0	0	2	0
ILMN_1749317	chr1	1853506	1853556	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3308285	chrX	83480766	83480816	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2211003	chr12	101018512	101018562	-	51	14	0	4	4	2	4	10	9	17	12	6	1	7	7
ILMN_1711254	chr1	118502831	118502881	-	51	8	1	2	8	6	2	2	5	4	2	2	4	9	11
